GeneID	LOG_count	WT0_count	LOG_rpkm	WT0_rpkm	log2_Ratio(WT0/LOG)	Pvalue	FDR	significant
Unigene0003261	27	22	5.751	4.6644	-0.302121324	0.568648377	0.727554007	no
Unigene0003262	5	14	0.9787	2.7279	1.478852154	0.063692328	0.128094639	no
Unigene0003263	49	35	3.853	2.7395	-0.492069582	0.156523806	0.269756725	no
Unigene0003264	23	28	2.5022	3.0322	0.277167807	0.576337922	0.735661384	no
Unigene0003265	40	38	3.8406	3.6318	-0.080646958	0.910121549	1	no
Unigene0003266	38	35	4.5431	4.1652	-0.12529129	0.815453129	0.938497427	no
Unigene0003267	21	40	1.8649	3.5359	0.922979202	0.020605153	0.048579571	no
Unigene0003268	85	82	7.6835	7.3783	-0.05847519	0.877573842	0.990302928	no
Unigene0003269	50	49	6.2324	6.0796	-0.035811423	1	1	no
Unigene0003270	76	38	6.8256	3.3971	-1.006652184	0.000492871	0.001673002	yes
Unigene0003271	30	17	3.7818	2.1332	-0.826053835	0.079291302	0.153794094	no
Unigene0003272	47	56	5.2892	6.273	0.246106034	0.431875005	0.603029293	no
Unigene0003273	15	4	2.2296	0.5918	-1.913603306	0.019266293	0.045748097	yes
Unigene0003274	157	110	12.6493	8.8219	-0.519896238	0.005067254	0.013983792	no
Unigene0003275	15	9	1.8866	1.1268	-0.743557104	0.307748337	0.46089263	no
Unigene0003276	10	5	2.3758	1.1824	-1.006695217	0.301941037	0.454088793	no
Unigene0003277	7	13	0.968	1.7895	0.886477591	0.263416131	0.408257984	no
Unigene0003278	21	13	4.8043	2.9604	-0.69853412	0.229877771	0.36781007	no
Unigene0003279	7	10	1.463	2.0803	0.507861825	0.629207129	0.781563131	no
Unigene0003280	788	902	19.222	21.9017	0.188284403	0.010869431	0.027672156	no
Unigene0003281	403	468	12.9278	14.9439	0.209079922	0.039668918	0.08514681	no
Unigene0003282	56	72	3.9507	5.0562	0.355945233	0.186085414	0.309912797	no
Unigene0003283	322	393	6.1812	7.5095	0.280829907	0.012404416	0.03107931	no
Unigene0003284	2373	2637	54.0439	59.7804	0.145540762	0.001478316	0.004589086	no
Unigene0003285	381	457	10.4596	12.4884	0.255760972	0.013440409	0.033232629	no
Unigene0003286	485	300	15.823	9.7424	-0.699674034	6.01E-11	4.21E-10	no
Unigene0003287	563	729	12.5596	16.1881	0.366143148	1.21E-05	5.24E-05	no
Unigene0003288	141	231	4.6492	7.5818	0.705557911	4.35E-06	1.99E-05	no
Unigene0003289	1	4	0.0753	0.2999	1.993759752	0.375062492	0.540113717	no
Unigene0003290	190	150	7.5125	5.9037	-0.347673674	0.035805077	0.078083094	no
Unigene0003291	78	3569	2.1552	98.1601	5.509243058	0	0	yes
Unigene0003292	547	882	21.1763	33.9884	0.68259191	1.85E-17	1.82E-16	no
Unigene0003293	38	79	5.242	10.8477	1.049199927	0.000197498	0.000718275	yes
Unigene0003294	1552	1430	23.2247	21.3007	-0.124759119	0.028880508	0.065403793	no
Unigene0003295	1012	1826	22.3341	40.1134	0.844836134	1.92E-47	4.34E-46	no
Unigene0003296	0	11	0.001	2.4155	11.23810614	0.00097925	0.003137496	yes
Unigene0003297	117	143	5.9509	7.2399	0.282861896	0.123280439	0.223164129	no
Unigene0003298	143	81	7.9418	4.4778	-0.826675938	4.55E-05	0.000182384	no
Unigene0003299	502	491	19.3399	18.8292	-0.03860863	0.710143535	0.853869032	no
Unigene0003300	893	1172	33.8176	44.1792	0.385593018	1.00E-08	5.94E-08	no
Unigene0003301	350	359	15.9618	16.297	0.029983061	0.824767577	0.94601926	no
Unigene0003302	63	322	2.9382	14.9484	2.346986567	4.82E-42	9.75E-41	yes
Unigene0003303	295	180	4.9832	3.0266	-0.719374459	1.65E-07	8.81E-07	no
Unigene0003304	18	112	0.8597	5.3245	2.630740843	1.11E-17	1.10E-16	yes
Unigene0003305	18	43	1.0771	2.5614	1.24978037	0.001897611	0.005760963	yes
Unigene0003306	0	1	0.001	0.2315	7.854868383	1	1	no
Unigene0003307	36	166	1.386	6.3615	2.198439726	5.74E-21	6.56E-20	yes
Unigene0003308	31	30	3.2033	3.0857	-0.053961112	1	1	no
Unigene0003309	26	14	2.9864	1.6007	-0.899704468	0.080992299	0.156519547	no
Unigene0003310	4307	3517	229.1266	186.2398	-0.298983541	8.85E-15	7.76E-14	no
Unigene0003311	29	24	4.2426	3.495	-0.27965621	0.583633051	0.741243147	no
Unigene0003312	22	20	4.0768	3.6891	-0.144168286	0.877742635	0.990302928	no
Unigene0003313	212	206	7.5549	7.3073	-0.048074221	0.808784639	0.934145423	no
Unigene0003314	5	7	1.0732	1.4956	0.478805417	0.77448171	0.906560631	no
Unigene0003315	16	12	3.4882	2.6041	-0.421697911	0.571859929	0.730683988	no
Unigene0003316	397	644	19.5658	31.5932	0.691279972	1.28E-13	1.05E-12	no
Unigene0003317	451	314	13.7157	9.5054	-0.52900901	9.11E-07	4.50E-06	no
Unigene0003318	32	23	2.1721	1.554	-0.48310402	0.281271983	0.430934836	no
Unigene0003319	75	63	4.5271	3.7853	-0.258179531	0.350774069	0.512622456	no
Unigene0003320	316	251	9.4397	7.4635	-0.338888671	0.006218572	0.016877871	no
Unigene0003321	20	5	3.7947	0.9443	-2.006668659	0.004099517	0.011570916	yes
Unigene0003322	9	6	1.7933	1.19	-0.591655282	0.607376167	0.764364652	no
Unigene0003323	5	0	0.9892	0.001	-9.95011843	0.062531251	0.126174354	no
Unigene0003324	20	7	3.5409	1.2336	-1.52124143	0.01923675	0.045748097	yes
Unigene0003325	65	32	4.7297	2.3178	-1.028992594	0.001078966	0.00343129	yes
Unigene0003326	2	2	0.418	0.4161	-0.006572654	1	1	no
Unigene0003327	3	1	0.5872	0.1948	-1.591858291	0.625037495	0.778888258	no
Unigene0003328	27	10	3.8487	1.4189	-1.439598304	0.007686922	0.02035789	yes
Unigene0003330	24	4	4.8167	0.7991	-2.591597111	0.000181736	0.000664409	yes
Unigene0003331	34	22	4.859	3.1296	-0.634681157	0.141451135	0.248583957	no
Unigene0003332	267	230	8.353	7.1624	-0.221851347	0.092126507	0.175601016	no
Unigene0003333	146	74	9.9103	4.9999	-0.98702949	1.57E-06	7.56E-06	no
Unigene0003334	127	139	8.1906	8.9233	0.123608204	0.502926336	0.66339736	no
Unigene0003335	16	39	2.088	5.0661	1.278753843	0.002702827	0.007931818	yes
Unigene0003336	337	185	8.7098	4.7594	-0.871859881	2.74E-11	1.96E-10	no
Unigene0003337	6	3	1.4074	0.7005	-1.006575462	0.50791091	0.665747767	no
Unigene0003338	257	442	10.0828	17.2611	0.775628074	1.00E-11	7.38E-11	no
Unigene0003339	5677	2346	219.014	90.0908	-1.281571402	4.80E-240	5.47E-238	yes
Unigene0003340	429	450	12.4669	13.0171	0.062305304	0.552399879	0.710619954	no
Unigene0003341	9	17	0.4637	0.8719	0.910970952	0.168914476	0.287616693	no
Unigene0003342	15	24	0.7728	1.2309	0.671546561	0.200029599	0.329658142	no
Unigene0003343	10	38	0.5946	2.249	1.919292293	6.29E-05	0.000246742	yes
Unigene0003344	5	0	1.1828	0.001	-10.20799043	0.062531251	0.126174354	no
Unigene0003345	33	57	2.7259	4.6868	0.781870594	0.01509103	0.036878405	no
Unigene0003346	554	593	13.4022	14.2798	0.091505932	0.301254978	0.454088793	no
Unigene0003348	10	4	2.3656	0.9419	-1.328560344	0.17971814	0.301125081	no
Unigene0003349	434	668	20.1564	30.8815	0.615504838	1.04E-11	7.67E-11	no
Unigene0003350	224	210	8.6537	8.0756	-0.099747654	0.506696021	0.665747767	no
Unigene0003351	806	679	27.8654	23.3668	-0.254014687	0.001126557	0.003572769	no
Unigene0003352	402	183	7.349	3.3301	-1.141982451	1.10E-19	1.19E-18	yes
Unigene0003354	5	7	0.8632	1.203	0.478869873	0.77448171	0.906560631	no
Unigene0003355	3907	3849	101.4955	99.5292	-0.028224012	0.47055445	0.643115173	no
Unigene0003356	17	45	2.4547	6.468	1.397772962	0.000506901	0.001717349	yes
Unigene0003357	554	738	15.5233	20.5841	0.407095087	1.15E-06	5.64E-06	no
Unigene0003358	297	420	18.0448	25.4006	0.493279423	1.02E-05	4.45E-05	no
