id	R0_count	R3_count	R0_fpkm	R3_fpkm	log2FC	Pvalue	FDR	significant
OS11T0706200-00	0	5	0.001	0.12	6.906890596	0.062531251	0.123993256	no
OS11T0706700-00	6	4	0.51	0.37	-0.462971976	0.753967752	0.886551381	no
OS11T0707000-01	43439	51618	1013.07	1299.7	0.359444792	1.48E-55	4.73E-54	no
OS11T0707000-02	63361	77744	1447.15	1916.9	0.405560609	1.21E-74	5.51E-73	no
OS11T0707000-03	38590	46234	1056.83	1368.14	0.372472541	4.80E-58	1.63E-56	no
OS11T0707000-04	4	1	0.001	0.001	0	0.375062492	0.533094757	no
OS11T0707100-00	3	0	0.14	0.001	-7.129283017	0.250037498	0.384983395	no
OS11T0707300-00	98	62	6.79	4.68	-0.536903045	0.022097754	0.050614496	no
OS11T0707450-00	0	2	0.001	0.35	8.451211112	0.500024999	0.653216704	no
OS11T0707600-01	91	124	3.3	4.87	0.561455748	0.00652125	0.017273335	no
OS11T0707600-02	89	113	3.07	4.21	0.455581578	0.035907286	0.077193667	no
OS11T0707700-01	607	521	44.26	41.43	-0.095327631	0.191929339	0.315212321	no
OS11T0707800-01	534	462	17.64	16.51	-0.095510441	0.278564111	0.421409072	no
OS11T0707900-01	82	50	1.75	1.15	-0.605721061	0.023187747	0.052686195	no
OS11T0707900-02	63	38	1.53	0.99	-0.628031223	0.046592348	0.09686707	no
OS11T0708000-01	219	132	5.06	3.3	-0.61667136	8.11E-05	0.000308474	no
OS11T0708000-03	48	41	1.85	1.71	-0.113528946	0.832625583	0.954201874	no
OS11T0708100-01	11	13	0.34	0.43	0.338801913	0.838916366	0.959579508	no
OS11T0708400-01	225	212	7.81	7.96	0.027445882	0.924612029	1	no
OS11T0708400-02	181	183	7.4	8.11	0.132176644	0.435931464	0.600481918	no
OS11T0708500-01	118	174	3.91	6.24	0.674377422	0.000121335	0.000449559	no
OS11T0708600-01	170	117	2.29	1.7	-0.429812852	0.01592132	0.037988344	no
OS11T0708600-02	70	81	1.49	1.86	0.319990291	0.194402061	0.318721537	no
OS12T0100100-01	74	163	2.87	6.86	1.257157839	3.85E-10	2.65E-09	up
OS12T0100100-02	88	220	3.3	8.94	1.437808807	3.93E-16	3.97E-15	up
OS12T0100100-03	50	126	2.11	5.77	1.45132832	7.49E-10	5.03E-09	up
OS12T0100200-00	11	18	0.16	0.28	0.807354922	0.200826576	0.327657505	no
OS12T0100500-01	844	352	29.72	13.41	-1.148124879	1.63E-37	3.54E-36	down
OS12T0100700-00	4	1	0.1	0.03	-1.736965594	0.375062492	0.533094757	no
OS12T0101000-01	52	39	1.1	0.89	-0.305626283	0.402883443	0.564117699	no
OS12T0101000-02	21	19	0.96	0.94	-0.030373649	1	1	no
OS12T0101000-03	66	51	0.73	0.61	-0.259087221	0.356684849	0.514905059	no
OS12T0101800-01	1793	2762	18.53	30.74	0.730254284	5.11E-53	1.58E-51	no
OS12T0101800-02	599	865	9.24	14.38	0.638098919	8.87E-16	8.78E-15	no
OS12T0101901-00	0	1	0.001	0.25	7.965784285	1	1	no
OS12T0102100-01	595	502	15.03	13.69	-0.134722563	0.1259475	0.220817832	no
OS12T0102100-02	52	40	10.85	9.35	-0.214656773	0.466733252	0.632294438	no
OS12T0102200-01	580	519	22.87	22.17	-0.044847596	0.537230455	0.691403773	no
