id	R0_count	R3_count	R0_fpkm	R3_fpkm	log2FC	Pvalue	FDR	significant
OS01T0217800-01	68	76	1.54	1.86	0.27237227	0.280340976	0.423726683	no
OS01T0217900-00	49	29	2.13	1.36	-0.647246779	0.068076003	0.133128963	no
OS01T0218032-01	95	66	6.54	4.95	-0.401862111	0.083860534	0.158969674	no
OS01T0218100-01	595	253	10.79	4.95	-1.124194435	2.19E-26	3.39E-25	down
OS01T0218200-00	21	64	0.29	0.95	1.711874613	7.03E-07	3.54E-06	up
OS01T0218700-01	862	853	11.08	11.81	0.092051083	0.228170583	0.362919702	no
OS01T0218700-02	155	141	7.65	7.55	-0.018983103	0.862615004	0.979880895	no
OS01T0218800-01	473	393	5	4.47	-0.161653263	0.110015994	0.200128432	no
OS01T0218800-02	237	186	3.16	2.67	-0.243084816	0.091657482	0.171956121	no
OS01T0218900-01	121	176	2.3	3.61	0.650364976	0.000175559	0.000633346	no
OS01T0219000-00	10	17	0.47	0.87	0.888354644	0.185241202	0.305891127	no
OS01T0219100-01	11	23	0.81	1.84	1.183711953	0.041134536	0.086827692	no
OS01T0219200-01	5	6	0.15	0.19	0.341036918	1	1	no
OS01T0219300-01	610	437	21.1	16.35	-0.367952363	4.53E-05	0.000179282	no
OS01T0219500-01	3	6	0.06	0.13	1.115477217	0.50791091	0.659630519	no
OS01T0220100-01	0	1	0.001	0.02	4.321928095	1	1	no
OS01T0220200-01	73	80	4.48	5.34	0.25334101	0.333837564	0.487787487	no
OS01T0220300-01	345	324	21.39	21.86	0.031356919	0.939377171	1	no
OS01T0220400-01	61	84	8.88	13.54	0.608596157	0.025642554	0.057702742	no
OS01T0220700-00	0	1	0.001	0.08	6.321928095	1	1	no
OS01T0220900-01	0	4	0.001	0.03	4.906890596	0.125037499	0.219498867	no
OS01T0221000-00	4	14	0.6	2.31	1.944858446	0.030957355	0.06812399	no
OS01T0221100-01	370	471	3.59	4.93	0.457603803	1.11E-05	4.79E-05	no
OS01T0221100-02	212	253	2.72	3.5	0.363748271	0.008972608	0.022915396	no
OS01T0221300-01	106	135	2.18	3	0.460634366	0.017882267	0.042043227	no
OS01T0221400-00	9	5	34.17	20.03	-0.770567827	0.424115089	0.58732677	no
OS01T0221500-01	299	281	5.26	5.33	0.019072733	0.934704669	1	no
OS01T0221600-00	140	122	3.53	3.32	-0.088484942	0.667529405	0.813073067	no
OS01T0221700-00	79	88	3.5	4.23	0.273302741	0.280612931	0.423873076	no
OS01T0221900-01	100	64	2.04	1.41	-0.53287399	0.023815033	0.054012153	no
OS01T0222001-01	0	4	0.001	0.12	6.906890596	0.125037499	0.219498867	no
OS01T0222300-01	4	2	0.11	0.06	-0.874469118	0.687546866	0.829234845	no
OS01T0222500-01	68	125	2.5	4.98	0.994217647	5.60E-06	2.51E-05	no
OS01T0222600-01	3332	3522	367.4	426.71	0.215904294	5.54E-06	2.49E-05	no
OS01T0222700-01	154	171	2.23	2.67	0.259796032	0.123255112	0.219498867	no
OS01T0222700-02	148	201	1.96	2.87	0.550197083	0.000552894	0.001827783	no
OS01T0222900-01	6	6	0.38	0.41	0.109624491	1	1	no
OS01T0223000-01	29	27	1.03	1.04	0.013939191	1	1	no
OS01T0223200-01	335	560	9.69	17.5	0.852786351	4.02E-17	4.29E-16	no
OS01T0223300-01	0	2	0.001	0.04	5.321928095	0.500024999	0.653216704	no
OS01T0223500-00	13	25	1.62	3.44	1.086414752	0.033719017	0.073145775	no
OS01T0223600-01	275	241	6.2	5.87	-0.078907712	0.54248758	0.696472964	no
OS01T0223700-01	57	56	0.82	0.86	0.06871275	0.851285751	0.969915247	no
OS01T0223800-00	9	2	0.14	0.03	-2.222392421	0.065502201	0.128721934	no
OS01T0223900-01	593	293	8.27	4.4	-0.910383806	6.63E-19	7.66E-18	no
OS01T0224000-00	128	89	1.97	1.47	-0.422379475	0.042554768	0.089449127	no
OS01T0224100-01	145	66	3.09	1.52	-1.023535514	8.62E-07	4.29E-06	down
OS01T0224100-02	109	35	2.78	0.96	-1.533978572	7.47E-09	4.58E-08	down
OS01T0224166-00	25	18	1.47	1.15	-0.354182294	0.542820217	0.696631763	no
OS01T0224200-00	6	2	0.39	0.14	-1.478047297	0.28916092	0.433113866	no
OS01T0224300-01	8	9	0.61	0.75	0.298081353	1	1	no
OS01T0224400-01	21	22	0.62	0.7	0.175086707	0.761042423	0.892811622	no
OS01T0224500-01	331	179	19.16	11.27	-0.765610046	5.79E-09	3.58E-08	no
OS01T0224700-01	18	16	0.37	0.35	-0.080170349	1	1	no
OS01T0225000-00	40	34	1.73	1.59	-0.121745272	0.728031836	0.864499072	no
OS01T0225100-01	697	561	7.31	6.34	-0.205388566	0.01368969	0.033240584	no
OS01T0225200-01	89	92	0.97	1.08	0.15497466	0.553997752	0.707473327	no
OS01T0225300-01	70	71	1.07	1.17	0.128897733	0.614759702	0.768311935	no
OS01T0225400-01	39	47	4.33	5.73	0.404168114	0.284653957	0.428870792	no
OS01T0225500-00	0	2	0.001	0.06	5.906890596	0.500024999	0.653216704	no
OS01T0225550-01	11	0	0.41	0.001	-8.6794801	0.00097925	0.003095499	down
OS01T0225600-00	12	7	1.06	0.67	-0.661831264	0.35951399	0.517844044	no
OS01T0226200-00	133	44	4.47	1.6	-1.482202926	3.12E-10	2.16E-09	down
OS01T0226300-01	99	98	5.71	6.15	0.107095665	0.670661189	0.816321653	no
OS01T0226400-01	15	41	0.19	0.55	1.5334322	0.000239046	0.000844458	up
OS01T0226500-01	83	56	1.73	1.26	-0.457348304	0.074442244	0.143583619	no
OS01T0226500-02	50	37	0.56	0.45	-0.315501826	0.332873777	0.486499148	no
OS01T0226600-01	15	6	0.2	0.09	-1.152003093	0.078509136	0.150062734	no
OS01T0226600-02	21	11	0.3	0.17	-0.819427754	0.149928103	0.255969433	no
OS01T0226666-00	13	5	0.43	0.18	-1.256339753	0.096401148	0.179028546	no
OS01T0226700-01	122	11	5.6	0.55	-3.347923303	3.43E-23	4.75E-22	down
OS01T0227100-01	4114	1367	72.72	26.06	-1.480515116	1.76E-234	3.64E-232	down
OS01T0227100-02	1166	442	35.22	14.43	-1.287323609	6.25E-60	2.20E-58	down
OS01T0227200-01	247	191	4	3.34	-0.260151897	0.058242653	0.117508542	no
OS01T0227250-00	1	0	0.04	0.001	-5.321928095	1	1	no
OS01T0227300-01	978	661	34.95	25.57	-0.450840295	7.63E-10	5.12E-09	no
OS01T0227350-00	12	8	0.4	0.29	-0.4639471	0.503660778	0.656700216	no
OS01T0227400-01	56	55	2.75	2.93	0.091469046	0.849962236	0.969082403	no
OS01T0227500-01	317	266	6.45	5.84	-0.143330791	0.236000326	0.373257952	no
OS01T0227700-01	303	212	6.96	5.26	-0.404024507	0.001668501	0.005044644	no
OS01T0227800-01	68	67	1.42	1.51	0.08865762	0.863870514	0.981022134	no
OS01T0228300-01	123	150	5.57	7.37	0.403987292	0.030264382	0.066767606	no
OS01T0228400-01	2342	339	35.46	5.53	-2.680841151	1.50E-301	4.62E-299	down
OS01T0228450-00	15	0	0.3	0.001	-8.22881869	6.14E-05	0.000238178	down
OS01T0228500-01	5	6	0.19	0.24	0.337034987	1	1	no
OS01T0228600-01	943	728	27.55	22.99	-0.261045853	0.000287375	0.001000582	no
OS01T0228600-02	351	294	11.16	10.11	-0.14255403	0.200527256	0.327574816	no
OS01T0228600-03	936	757	30.55	26.73	-0.192712542	0.006257923	0.016670807	no
OS01T0228800-01	464	217	6.45	3.25	-0.988859442	2.43E-17	2.62E-16	no
OS01T0228800-02	1	0	0.53	0.001	-9.049848549	1	1	no
OS01T0228901-01	2	0	0.02	0.001	-4.321928095	0.500024999	0.653216704	no
OS01T0229000-00	15	18	0.55	0.71	0.368387406	0.487212094	0.653216704	no
OS01T0229100-01	119	69	4.39	2.75	-0.674789321	0.002148616	0.0063434	no
OS01T0229100-02	257	215	5.27	4.76	-0.146841388	0.274347854	0.415773401	no
OS01T0229200-01	1238	1114	17.56	17.03	-0.04421441	0.453728389	0.618600776	no
OS01T0229200-02	814	742	15.76	15.5	-0.023999319	0.713979797	0.853324962	no
OS01T0229200-03	599	500	14.96	13.49	-0.149219827	0.088139537	0.166085424	no
OS01T0229200-04	441	331	16	13	-0.299560282	0.004145975	0.011504092	no
OS01T0229250-00	0	3	0.001	0.1	6.64385619	0.250037498	0.384983395	no
OS01T0229300-01	65	52	0.64	0.55	-0.218640286	0.46100229	0.62585521	no
OS01T0229400-01	21	28	0.77	1.11	0.527629326	0.253451813	0.389519654	no
OS01T0229500-01	22	48	1.45	3.45	1.250543462	0.001114982	0.003483236	up
OS01T0229600-01	28	52	1.36	2.74	1.010569242	0.003663672	0.010317931	up
OS01T0229700-00	1	2	0.03	0.06	1	1	1	no
OS01T0229800-00	0	2	0.001	0.36	8.491853096	0.500024999	0.653216704	no
OS01T0229900-01	67	97	0.82	1.29	0.653675251	0.006313104	0.016798935	no
OS01T0229900-02	22	32	0.44	0.69	0.649092838	0.134198231	0.233222964	no
OS01T0229900-03	10	11	0.17	0.2	0.234465254	1	1	no
OS01T0230200-01	137	108	3.02	2.57	-0.23278019	0.226589302	0.360796828	no
OS01T0230700-01	0	3	0.001	0.03	4.906890596	0.250037498	0.384983395	no
OS01T0230800-01	30	15	1.3	0.71	-0.872620694	0.072774081	0.140686471	no
OS01T0231000-01	1374	1019	44.16	35.42	-0.31817596	1.96E-07	1.05E-06	no
OS01T0231000-02	967	754	34.34	28.98	-0.244832444	0.000508694	0.001693467	no
OS01T0231000-03	1133	846	39.56	31.96	-0.307775018	3.81E-06	1.75E-05	no
OS01T0231500-01	287	176	6.14	4.07	-0.593209861	1.40E-05	5.98E-05	no
OS01T0231500-02	201	158	1.69	1.43	-0.2410081	0.128601321	0.224880436	no
OS01T0231700-01	533	560	39.65	45.44	0.196641969	0.055622234	0.113014906	no
OS01T0231800-01	50	93	2.02	4.07	1.010673502	8.27E-05	0.000313969	up
OS01T0231900-01	190	461	4.04	10.58	1.388912429	2.01E-30	3.54E-29	up
OS01T0232000-00	9	23	0.6	1.67	1.476813697	0.013606508	0.033075858	up
OS01T0232100-01	74	19	3.08	0.86	-1.840521786	4.92E-08	2.79E-07	down
OS01T0232200-00	55	74	1.38	2.01	0.542527234	0.053082569	0.10838872	no
OS01T0232300-01	111	189	0.89	1.63	0.872994723	3.97E-07	2.05E-06	no
OS01T0232400-01	561	689	7.77	10.29	0.405256478	2.34E-06	1.11E-05	no
OS01T0232400-02	493	600	6.85	8.99	0.392217128	1.69E-05	7.11E-05	no
OS01T0232500-01	700	568	16.09	14.09	-0.191492714	0.020477749	0.047398329	no
OS01T0232500-02	154	130	7.82	7.17	-0.125195489	0.443740544	0.60920399	no
OS01T0232700-01	461	624	10.08	14.72	0.546282033	2.65E-09	1.70E-08	no
OS01T0232700-02	205	235	9.12	11.33	0.313042132	0.033707762	0.073145775	no
OS01T0232800-01	1056	1114	24.66	28.09	0.187883825	0.005859167	0.015718012	no
OS01T0233000-01	5970	6034	201.63	220.49	0.129002916	0.00035432	0.001215466	no
OS01T0233100-00	9	22	0.22	0.59	1.423211431	0.02015933	0.046741145	up
OS01T0233400-00	6	7	0.28	0.35	0.321928095	1	1	no
OS01T0233500-01	65	121	1.19	2.39	1.006049045	5.26E-06	2.37E-05	up
OS01T0233850-00	0	1	0.001	0.06	5.906890596	1	1	no
OS01T0233900-01	32	26	0.74	0.65	-0.187085553	0.694426754	0.834951304	no
OS01T0234100-01	19	34	0.36	0.7	0.959358016	0.027209435	0.060838973	no
OS01T0234300-00	51	50	1.88	1.99	0.082035769	0.842774682	0.963110146	no
OS01T0234433-00	1	1	0.05	0.05	0	1	1	no
OS01T0234499-00	27	12	1.76	0.85	-1.050040682	0.053482478	0.109069117	no
OS01T0234700-01	22	16	0.96	0.76	-0.337034987	0.627431963	0.77601102	no
OS01T0234800-01	109	114	3.47	3.93	0.17959365	0.424276302	0.587361981	no
OS01T0234800-02	19	21	2.03	2.47	0.283031314	0.636167827	0.783668482	no
OS01T0234900-01	1125	887	26.18	22.29	-0.232068481	0.000448983	0.001511449	no
OS01T0235100-01	776	639	36.88	32.95	-0.162560191	0.028760802	0.063937008	no
OS01T0235200-01	33	5	0.59	0.1	-2.560714954	7.56E-06	3.34E-05	down
OS01T0235200-02	29	26	0.68	0.66	-0.043068722	1	1	no
OS01T0235300-01	276	363	11.9	16.97	0.512024991	2.12E-05	8.83E-05	no
OS01T0235300-02	212	274	9.5	13.32	0.487594664	0.000466411	0.001565451	no
OS01T0235350-00	8	4	0.14	0.08	-0.807354922	0.387840285	0.546701842	no
OS01T0235400-01	244	210	5.41	5.03	-0.105070194	0.430177702	0.593711574	no
OS01T0235400-02	287	263	4.97	4.91	-0.017522827	0.899591759	1	no
OS01T0235632-00	7	9	0.1	0.14	0.485426827	0.803697892	0.929064499	no
OS01T0235700-01	812	467	11.88	7.37	-0.688798312	4.02E-16	4.06E-15	no
OS01T0235700-02	754	439	11.92	7.48	-0.672274061	1.30E-14	1.21E-13	no
OS01T0235800-01	182	111	3.96	2.61	-0.601450624	0.000584366	0.001926054	no
OS01T0235850-00	0	1	0.001	0.04	5.321928095	1	1	no
OS01T0235900-00	453	444	16.38	17.38	0.085492725	0.472396687	0.638418648	no
OS01T0236000-01	37	39	1.28	1.46	0.189824559	0.731500848	0.86750493	no
OS01T0236300-01	151	88	2.2	1.38	-0.672835257	0.000606894	0.001993931	no
OS01T0236300-02	128	77	1.88	1.22	-0.623851514	0.002651624	0.007677425	no
OS01T0236400-01	106	91	2.97	2.76	-0.105794664	0.61890421	0.772473889	no
OS01T0236700-01	2278	2259	24.56	26.23	0.094907247	0.05481092	0.111485852	no
OS01T0236700-02	166	133	11.01	9.61	-0.196206133	0.227165493	0.361466508	no
OS01T0236800-01	196	169	4.08	3.79	-0.106371304	0.49956135	0.653216704	no
OS01T0237000-01	0	3	0.001	0.14	7.129283017	0.250037498	0.384983395	no
OS01T0237100-01	404	415	14.76	16.41	0.152882517	0.17066279	0.286364022	no
OS01T0237500-01	29	26	3.08	3.04	-0.018859027	1	1	no
OS01T0237750-00	5	1	1.54	0.35	-2.137503524	0.218820305	0.35048049	no
OS01T0238200-01	150	131	12.38	11.81	-0.06800235	0.63563576	0.783668482	no
OS01T0238200-02	48	50	4.04	4.6	0.187278568	0.614602832	0.768217097	no
OS01T0238375-01	0	14	0.001	1.31	10.3553511	0.000122627	0.000453423	up
OS01T0238500-01	2243	3599	59.08	102.42	0.793755733	1.17E-74	5.33E-73	no
OS01T0238500-02	2297	3395	63.91	102.07	0.675445305	2.20E-53	6.83E-52	no
OS01T0238600-01	446	441	24.95	26.81	0.103731404	0.39297583	0.552283117	no
OS01T0238700-01	8	3	0.13	0.05	-1.378511623	0.22669138	0.360796828	no
OS01T0238800-01	11	17	1.07	1.81	0.758378901	0.265278668	0.404614805	no
OS01T0238800-02	11	28	1.15	3.22	1.485426827	0.003408109	0.009665921	up
OS01T0238850-00	0	1	0.001	0.08	6.321928095	1	1	no
OS01T0238900-01	367	595	6.72	11.75	0.806127619	1.52E-16	1.58E-15	no
OS01T0239000-01	830	681	25.54	22.65	-0.173247475	0.020886491	0.048257277	no
OS01T0239000-02	3229	2342	50.58	39.55	-0.354889342	2.94E-16	3.00E-15	no
OS01T0239100-01	51	147	1.15	3.58	1.638325726	1.73E-13	1.50E-12	up
OS01T0239100-02	47	210	0.31	1.5	2.27462238	4.03E-28	6.57E-27	up
OS01T0239150-00	1	0	0.06	0.001	-5.906890596	1	1	no
OS01T0239200-01	7773	9094	191.95	242.52	0.337373167	6.90E-28	1.12E-26	no
OS01T0239300-01	37	32	1.28	1.2	-0.093109404	0.810271326	0.935409374	no
OS01T0239700-01	1265	1429	12.54	15.26	0.283217614	2.50E-06	1.18E-05	no
OS01T0239700-02	1227	1429	11.93	14.96	0.326516132	6.04E-08	3.39E-07	no
OS01T0239700-03	579	650	14.12	17.12	0.277942613	0.001600856	0.004853735	no
OS01T0240600-01	1	0	0.01	0.001	-3.321928095	1	1	no
OS01T0240700-00	1	0	0.03	0.001	-4.906890596	1	1	no
OS01T0240725-00	1	1	0.08	0.09	0.169925001	1	1	no
OS01T0241000-01	250	110	6.45	3.06	-1.075767508	2.37E-11	1.78E-10	down
OS01T0241100-01	62	90	1.28	2	0.64385619	0.009727395	0.024603275	no
OS01T0241400-01	7	0	0.54	0.001	-9.076815597	0.01564141	0.037361826	down
OS01T0242200-01	1	2	0.02	0.05	1.321928095	1	1	no
OS01T0242300-01	98	61	4.65	3.14	-0.566466157	0.017518179	0.041285452	no
OS01T0242400-01	7	3	0.24	0.11	-1.125530882	0.343873016	0.4995422	no
OS01T0242500-01	135	133	6.36	6.8	0.096507981	0.671095654	0.816787595	no
OS01T0242600-01	1474	946	22.23	15.38	-0.531452445	1.30E-17	1.41E-16	no
OS01T0242600-02	1217	792	19.13	13.42	-0.511452202	5.32E-14	4.75E-13	no
OS01T0242800-00	0	2	0.001	0.38	8.569855608	0.500024999	0.653216704	no
OS01T0242900-01	192	312	14.45	25.61	0.82563776	1.43E-09	9.38E-09	no
OS01T0242900-02	44	40	0.64	0.63	-0.022720077	1	1	no
OS01T0243000-01	160	104	4.59	3.23	-0.506959989	0.00473626	0.012957033	no
OS01T0243100-01	7	20	0.15	0.45	1.584962501	0.012601225	0.030973322	up
OS01T0243200-01	237	120	2.96	1.61	-0.878536488	3.57E-08	2.05E-07	no
OS01T0243200-02	131	54	3.27	1.46	-1.163322267	2.99E-07	1.56E-06	down
OS01T0243300-01	58	13	3.17	0.77	-2.041552489	4.49E-07	2.31E-06	down
OS01T0243400-01	64	50	5.56	4.75	-0.22715737	0.400714941	0.561645112	no
OS01T0243600-00	13	8	0.96	0.65	-0.562594688	0.383562455	0.54259078	no
OS01T0243700-01	16	24	1.23	2.01	0.708537186	0.154271327	0.262443858	no
OS01T0243700-02	15	10	1.11	0.81	-0.454565863	0.42464826	0.587361981	no
OS01T0243800-01	10	5	0.25	0.13	-0.943416472	0.301941037	0.448308335	no
OS01T0244150-00	4	0	0.18	0.001	-7.491853096	0.125037499	0.219498867	no
OS01T0245000-00	0	2	0.001	0.1	6.64385619	0.500024999	0.653216704	no
OS01T0245532-00	0	1	0.001	0.04	5.321928095	1	1	no
OS01T0245901-00	1	0	0.03	0.001	-4.906890596	1	1	no
OS01T0246100-01	763	691	6.11	5.96	-0.035860049	0.630213914	0.778213849	no
OS01T0246200-00	1	0	0.04	0.001	-5.321928095	1	1	no
OS01T0246400-01	12	28	0.58	1.48	1.351472371	0.006478515	0.017173567	up
OS01T0246500-01	261	127	8.79	4.63	-0.924850972	1.47E-09	9.62E-09	no
OS01T0246601-00	2	0	0.16	0.001	-7.321928095	0.500024999	0.653216704	no
OS01T0246700-01	1393	725	34.32	19.29	-0.831196409	4.05E-35	8.22E-34	no
OS01T0247500-01	200	154	5	4.16	-0.265344567	0.091196727	0.171179736	no
OS01T0247600-01	40	45	3.19	3.92	0.29729723	0.451521461	0.617978769	no
OS01T0247700-01	11	2	0.15	0.03	-2.321928095	0.022502846	0.051353869	no
OS01T0247900-01	68	34	3.55	1.93	-0.879218177	0.003955797	0.011021528	no
OS01T0248000-01	6	1	0.31	0.06	-2.36923381	0.125065622	0.219498867	no
OS01T0248300-00	11	45	0.79	3.51	2.151546472	1.29E-06	6.26E-06	up
OS01T0248350-00	3	2	0.25	0.18	-0.473931188	1	1	no
OS01T0248400-01	453	392	9.41	8.79	-0.098331558	0.32817426	0.481276923	no
OS01T0248500-01	145	58	4.57	1.98	-1.206693735	2.10E-08	1.23E-07	down
OS01T0248600-01	69	119	2.38	4.44	0.899598103	4.44E-05	0.000176046	no
OS01T0248701-00	135	7	4.48	0.25	-4.163498732	1.25E-29	2.14E-28	down
OS01T0248800-01	3	1	0.41	0.15	-1.450661409	0.625037495	0.773845008	no
OS01T0248850-00	1	1	0.11	0.12	0.125530882	1	1	no
OS01T0248900-01	11	7	0.58	0.4	-0.5360529	0.480882571	0.647212811	no
OS01T0249050-00	0	2	0.001	0.25	7.965784285	0.500024999	0.653216704	no
OS01T0249100-00	0	1	0.001	0.09	6.491853096	1	1	no
OS01T0249200-01	4553	3339	193.61	153.89	-0.331253984	5.05E-19	5.87E-18	no
OS01T0249300-01	445	361	7.99	6.99	-0.192903048	0.061959527	0.123993256	no
OS01T0249300-02	622	527	29.95	27.53	-0.121551393	0.135350983	0.235054072	no
OS01T0249800-00	3	3	0.29	0.32	0.142019005	1	1	no
OS01T0249900-01	9	12	0.31	0.45	0.537656786	0.663791876	0.809893368	no
OS01T0250600-01	255	173	13.38	9.86	-0.440418564	0.001544246	0.004696509	no
OS01T0250900-01	528	459	7.9	7.4	-0.094327383	0.304913453	0.452070652	no
OS01T0251000-01	371	421	7.22	8.83	0.290414601	0.006557775	0.017360389	no
OS01T0251100-01	95	112	3	3.82	0.348610138	0.096764105	0.179444976	no
OS01T0251100-02	89	104	2.9	3.67	0.339727163	0.133284607	0.232162607	no
OS01T0251200-01	449	407	6.32	6.17	-0.034654069	0.737717531	0.873267397	no
OS01T0251200-02	38	50	3.13	4.5	0.523762344	0.138241664	0.239250644	no
OS01T0251400-01	519	592	57.8	72.46	0.326115313	0.001075062	0.003372742	no
OS01T0252100-01	1802	1301	38.14	29.71	-0.360356238	6.68E-11	4.86E-10	no
OS01T0252100-02	1189	756	16.68	11.43	-0.545293885	3.31E-15	3.18E-14	no
OS01T0252100-03	987	638	24.41	17.04	-0.51854696	3.60E-12	2.86E-11	no
OS01T0252200-01	224	251	5.07	6.14	0.276252908	0.051312202	0.10534159	no
OS01T0252300-01	22	33	4.93	8.3	0.75152369	0.105265961	0.193149514	no
OS01T0252400-01	8	10	0.96	1.32	0.459431619	0.814612826	0.938548116	no
OS01T0252600-00	99	220	3.66	8.81	1.267298371	1.18E-13	1.03E-12	up
OS01T0252900-01	28	32	0.96	1.19	0.309855263	0.519586532	0.672345228	no
OS01T0253000-01	3	10	0.07	0.27	1.94753258	0.09238989	0.172769786	no
OS01T0253050-00	0	1	0.001	0.02	4.321928095	1	1	no
OS01T0253100-01	975	751	13.09	10.87	-0.268113157	0.000194866	0.000696692	no
OS01T0253100-02	576	470	9.91	8.72	-0.184556922	0.043170183	0.09053007	no
OS01T0253200-00	0	3	0.001	0.25	7.965784285	0.250037498	0.384983395	no
OS01T0253300-01	2225	3519	39.18	66.83	0.770378477	5.60E-70	2.37E-68	no
OS01T0253300-02	2157	3596	38.79	69.75	0.846508441	3.53E-84	1.87E-82	no
OS01T0253400-01	15	26	0.54	1.01	0.903323981	0.05984357	0.120349418	no
OS01T0253500-01	67	70	2.48	2.81	0.18023001	0.609608954	0.762718768	no
OS01T0253600-01	136	160	9.66	12.39	0.359081093	0.049995435	0.102953869	no
OS01T0253800-00	0	7	0.001	0.95	9.891783703	0.01564141	0.037361826	up
OS01T0253900-01	1205	725	16.31	10.57	-0.625781405	2.90E-19	3.42E-18	no
OS01T0253900-02	672	371	11.96	7.12	-0.748268243	1.20E-15	1.18E-14	no
OS01T0254000-01	525	944	22.07	43.01	0.962585502	1.03E-32	1.94E-31	no
OS01T0254100-01	1350	1763	11.58	16.28	0.491465446	1.60E-18	1.82E-17	no
OS01T0254100-02	778	1068	8.67	12.82	0.564292363	2.41E-15	2.33E-14	no
OS01T0254200-01	753	433	60.06	37.71	-0.671457324	3.43E-15	3.29E-14	no
OS01T0254300-00	48	20	0.99	0.45	-1.137503524	0.002223801	0.006551797	down
OS01T0254400-00	0	1	0.001	0.09	6.491853096	1	1	no
OS01T0254800-01	58	50	1.29	1.2	-0.10433666	0.773584083	0.904205546	no
OS01T0254850-00	30	7	1.93	0.49	-1.977747193	0.000316266	0.001093226	down
OS01T0254900-01	1323	1068	38.83	33.88	-0.196737833	0.001132117	0.003532113	no
OS01T0254950-01	0	1	0.001	0.05	5.64385619	1	1	no
OS01T0255000-01	603	595	22.1	23.61	0.095351672	0.339796519	0.495517436	no
OS01T0255100-01	2	8	0.06	0.26	2.115477217	0.109462886	0.199198681	no
OS01T0255700-00	17	8	1.08	0.56	-0.94753258	0.151835054	0.258837783	no
OS01T0256300-00	19	28	0.47	0.75	0.674229839	0.144335555	0.248104198	no
OS01T0256400-01	137	142	9.88	11.17	0.177046239	0.405243804	0.56631923	no
OS01T0256500-02	24809	42719	1507.38	2823.48	0.905431256	5.71734326614931e-316	1.93691338408553e-313	no
OS01T0256600-01	217	226	15.58	17.69	0.183238815	0.259357245	0.397372231	no
OS01T0256800-01	32	23	0.33	0.25	-0.40053793	0.419395534	0.582850175	no
OS01T0256800-02	15	10	0.32	0.23	-0.476438044	0.42464826	0.587361981	no
OS01T0256900-01	503	391	24.01	20.25	-0.245713496	0.009610445	0.024349027	no
OS01T0257100-01	180	91	13.82	7.63	-0.857002654	1.96E-06	9.36E-06	no
OS01T0257300-01	27	10	1.7	0.69	-1.300866479	0.011403219	0.028386253	down
OS01T0257400-01	413	265	6.65	4.6	-0.531720479	3.64E-06	1.67E-05	no
OS01T0257900-01	20	10	0.22	0.12	-0.874469118	0.136329417	0.236337874	no
OS01T0258000-01	10	8	0.39	0.34	-0.197939378	0.814612826	0.938548116	no
OS01T0258100-01	13	3	0.35	0.09	-1.959358016	0.021320761	0.049102766	down
OS01T0258100-02	17	2	0.24	0.03	-3	0.000732495	0.002369979	down
OS01T0258600-00	18	34	1.38	2.84	1.041222663	0.017678447	0.041588762	up
OS01T0258700-01	356	202	6.15	3.76	-0.709853749	2.26E-08	1.33E-07	no
OS01T0258700-03	328	204	5.44	3.65	-0.575710187	7.56E-06	3.34E-05	no
OS01T0259200-01	426	402	5.64	5.73	0.022839976	0.864809578	0.981574497	no
OS01T0259200-02	441	411	8.6	8.65	0.008363473	1	1	no
OS01T0259400-01	26	47	0.19	0.38	1	0.009672423	0.024475982	no
OS01T0259600-01	498	396	8.97	7.69	-0.222124387	0.023735623	0.053863964	no
OS01T0259900-00	1	3	0.06	0.2	1.736965594	0.625037495	0.773845008	no
OS01T0260000-01	12	14	0.45	0.57	0.341036918	0.845119625	0.964488527	no
OS01T0260100-01	46	23	0.47	0.25	-0.910732662	0.015608488	0.037361826	no
OS01T0260500-01	253	217	1.37	1.27	-0.109347396	0.41134139	0.573320132	no
OS01T0260700-01	987	983	34.03	36.67	0.107793115	0.156643207	0.265992291	no
OS01T0260800-01	357	319	20.04	19.46	-0.042370798	0.649663148	0.796321741	no
OS01T0261000-01	2	0	0.43	0.001	-8.74819285	0.500024999	0.653216704	no
OS01T0261100-01	993	688	17.59	13.14	-0.420790207	9.60E-09	5.82E-08	no
OS01T0261200-01	2397	904	45.76	18.62	-1.297233979	6.12E-121	4.99E-119	down
OS01T0261200-02	954	322	30.31	11.06	-1.454442467	6.90E-60	2.43E-58	down
OS01T0261500-01	69	88	1.04	1.43	0.459431619	0.056047385	0.11380113	no
OS01T0261500-02	14	15	0.44	0.5	0.184424571	0.711273147	0.850711741	no
OS01T0261500-03	5	12	0.44	1.17	1.410933101	0.143633064	0.247149606	no
OS01T0261600-00	0	2	0.001	0.06	5.906890596	0.500024999	0.653216704	no
OS01T0262000-00	1	2	0.03	0.06	1	1	1	no
OS01T0262401-00	17	9	2.05	1.2	-0.772589504	0.229815055	0.364754367	no
OS01T0262500-01	218	253	11.93	15.05	0.335169444	0.020225681	0.046874363	no
OS01T0262600-01	293	229	5.24	4.42	-0.245520442	0.056924662	0.115423872	no
OS01T0262700-01	22	51	0.52	1.31	1.332983283	0.000263136	0.000923304	up
OS01T0262700-02	48	78	0.81	1.42	0.809897117	0.002494729	0.007272435	no
OS01T0263000-00	1	0	0.04	0.001	-5.321928095	1	1	no
OS01T0263300-01	1554	1007	50.04	35.07	-0.512844359	1.37E-17	1.49E-16	no
