gene_id	C1	C2	C3	M1	M2	M3
AT4G10265	2.75999	2.33501	2.46993	1.00179	0.164287	2.00671
AT4G10340	748.347	483.717	758.824	210.897	369.876	239.139
AT4G10500	0.770575	0.903578	1.2332	1.31389	2.46856	2.29821
AT4G11100	5.54389	6.33672	6.79434	2.83527	2.54068	3.13654
AT4G11175	51.2876	42.9275	54.4999	15.6444	25.7645	20.8347
AT4G11210	0.563487	0.688975	0.295336	1.79652	1.49578	1.05788
AT4G11320	66.731	40.1042	89.8065	149.934	160.076	117.911
AT4G11655	0.484675	1.42036	1.35038	2.26777	2.04216	2.74285
AT4G11660	11.2654	8.88686	12.1682	6.4932	4.74231	4.67866
AT4G12310	26.7744	21.6908	28.4682	5.40835	7.99652	6.68981
AT4G12320	2.62131	1.68021	2.61187	0.41165	0.294009	0.731714
AT4G12470	442.959	1152.46	394.914	214.806	149.934	272.424
AT4G12480	11.0203	113.78	12.5003	0.768572	0.693396	8.58347
AT4G12545	68.2881	47.474	73.3258	250.939	318.924	215.615
AT4G12550	45.77	20.4892	43.2803	219.031	327.153	174.751
AT4G12800	680.328	395.767	663.808	183.913	267.394	186.829
AT4G12830	5.2235	2.70773	5.22447	0.390417	0.648857	0.390719
AT4G13010	29.5808	29.3458	28.8686	10.4014	13.7667	11.9077
AT4G13210	3.6988	5.65985	3.05139	8.71124	7.28203	8.58013
AT4G13220	24.3778	27.4867	22.6726	8.53248	12.5292	12.5541
AT4G13310	0.925914	0.77339	0.850871	2.85018	1.89711	1.77396
AT4G13500	35.7067	24.8676	35.5596	8.89199	14.4298	11.7109
AT4G13650	1.21584	1.11041	1.07744	0.528985	0.438805	0.581621
AT4G13790	19.1788	20.3249	17.2996	32.6175	28.0066	57.5717
AT4G14090	2.35703	1.69679	2.88007	0.592738	0.984108	1.09966
AT4G14130	88.7908	90.3247	88.9254	318.463	411.107	352.061
AT4G14450	0.555533	0.403543	0.603311	1.70826	1.16768	0.948283
AT4G14540	31.9678	22.1059	37.078	9.73994	11.695	11.863
AT4G14548	4.05419	5.14606	3.83925	6.03665	6.23712	10.9283
AT4G14640	4.69993	3.6068	4.48986	8.38359	8.40172	9.3456
AT4G14690	809.551	964.817	742.672	47.4957	56.3092	53.5113
AT4G15248	18.4716	11.0326	15.9981	0.275173	2.15676	0.659588
AT4G15390	32.5105	40.8782	29.6236	76.6017	67.2436	75.2519
AT4G15393	0.470579	1.03928	0.459716	2.54146	2.0861	3.21927
AT4G15400	5.83472	6.09383	6.45338	10.8665	17.4491	9.77573
AT4G15430	6.12395	6.77584	6.55098	2.64018	3.08766	2.12591
AT4G15510	20.9267	19.0207	21.3201	5.72596	6.48228	6.67595
AT4G15550	33.08	28.689	28.9312	9.67923	8.94165	10.7121
AT4G15670	3.19888	2.88719	2.5219	0.845342	0.623809	1.14579
AT4G15680	4.58171	6.01938	3.9357	1.67964	0.108578	1.16752
AT4G15690	3.11865	3.82629	3.80458	0.78541	0.553449	1.30033
AT4G15700	2.34391	2.87727	2.97015	0.595082	0.931531	1.49306
AT4G15810	2.45303	2.76216	2.72778	0.807647	0.597974	0.571329
AT4G16140	55.5569	80.7912	52.7704	21.9607	22.6511	20.9306
AT4G16410	69.0919	61.5513	62.8563	24.9044	33.4445	26.4361
AT4G16500	60.48	51.897	50.9361	112.597	177.687	115.874
AT4G16670	38.2597	39.8361	38.5343	80.1056	78.3475	88.364
AT4G16690	18.0457	13.46	17.6898	4.24264	5.7055	3.50929
AT4G16780	12.5159	15.6877	15.0735	31.3344	28.0374	40.5549
AT4G16920	3.27325	2.8278	3.62989	1.04257	1.64948	1.83022
AT4G16980	472.845	243.419	455.249	172.162	178.864	128.461
AT4G16990	1.19838	1.29163	1.28684	0.626781	0.793965	0.609155
AT4G17090	9.9991	7.94638	9.94069	1.60483	1.59967	1.83338
AT4G17098	1.02608	0.98547	1.31537	0.282948	0.287072	0.556231
AT4G17250	0.935384	0.966162	0.886938	0.315978	0.459594	0.45667
AT4G17810	17.6526	12.037	20.024	3.60711	3.62886	3.95261
AT4G17860	0.420975	0.391549	0.237787	1.47391	0.695068	1.14772
AT4G18480	135.394	113.947	146.016	51.7829	73.4234	63.3965
AT4G18650	3.05318	2.63918	3.7173	1.22651	1.44299	0.776422
AT4G18740	3.99326	1.95205	4.11007	0.642387	0.511091	0.899592
AT4G18810	18.2228	13.3617	19.09	5.16805	7.10774	5.69974
AT4G19420	29.5734	21.496	31.7523	52.0397	52.3395	50.8192
AT4G20390	3.46212	2.3367	3.7982	4.9567	11.7827	4.49718
AT4G21090	8.47608	7.58372	8.13962	2.9126	2.53175	3.32079
AT4G21100	6.85297	7.44958	6.26874	1.55201	1.52974	1.59062
AT4G21200	1.70385	2.12493	1.20447	4.04663	4.21955	5.22772
AT4G21250	0.332996	0.634244	0.0985406	0.349587	0.798075	0.938048
AT4G21280	431.364	302.157	454.976	135.025	171.074	157.626
AT4G21445	25.3968	18.4999	27.3364	7.76607	9.23945	11.8267
AT4G21510	1.64624	1.64815	1.72011	2.26413	4.18069	3.46313
AT4G21730	13.703	12.7729	10.2724	5.61473	3.77904	4.82718
AT4G21780	0.702663	0.881842	0.543032	0.951019	0.860187	2.37067
AT4G21870	25.4022	34.1593	26.3869	8.47026	12.0105	10.8688
AT4G21902	0.382028	2.20741	0.861765	2.48721	3.06278	4.54587
AT4G21903	1.00151	1.08314	0.584711	1.95721	1.28094	2.14697
AT4G22212	35.536	34.073	32.7172	56.0681	82.7908	57.673
AT4G22214	0.437968	0.268951	0.259221	1.08701	1.86073	0.777149
AT4G22230	34.9989	32.0518	26.2749	69.4807	41.3681	56.9541
AT4G22610	2.54431	2.49249	4.42856	10.5439	14.8537	7.26743
AT4G22620	1.85627	1.09631	1.17387	3.26257	1.59913	4.5522
AT4G22710	3.38629	14.4363	4.00361	3.47877	2.19316	6.60188
AT4G22890	66.6084	50.5926	67.1433	19.779	27.9476	23.6078
AT4G23300	1.06204	1.07545	1.10234	0.377616	0.652844	0.25256
AT4G23420	4.04249	3.51608	4.4176	7.34395	8.76467	9.51175
AT4G23493	3.25527	3.02967	5.13444	1.94121	1.54935	1.10005
AT4G23496	1.95631	0.867342	2.6392	0.261063	0.589603	0.0835511
AT4G23515	0.822909	1.55843	0.516264	2.0231	1.02911	2.64785
AT4G23600	2.68649	1.17862	2.33208	4.4262	5.80486	4.62671
AT4G23890	41.7699	27.1812	39.069	14.9476	20.0619	14.2816
AT4G23990	4.1798	3.9453	3.75638	1.8976	2.22818	1.27268
AT4G24080	0.228088	0.369506	0.680318	0.834355	1.24135	1.03139
AT4G24340	2.37551	0.467848	2.30787	3.9771	10.1844	3.39454
AT4G24350	7.52607	4.8617	7.96685	2.30728	5.13737	2.15374
AT4G24415	1.19977	1.2286	1.67008	0.425775	0.523143	0.200234
AT4G24660	5.15668	4.68588	5.24741	2.49286	2.92218	2.30783
AT4G24670	6.22587	6.19949	7.42413	2.29229	2.18983	3.07008
AT4G24700	9.44231	6.34728	11.7184	1.08537	0.876718	0.350769
AT4G24790	2.40326	2.62133	2.81343	0.950944	1.03389	1.01138
AT4G24972	1.4228	0.766512	1.0509	0.575443	0.790356	0.259253
AT4G25050	299.651	235.055	325.652	73.4729	99.8349	87.6869
